env_id,agent,lam,n_seeds,total_steps,elapsed_sec_mean,cost_return_iqm,cost_return_ci_lo,cost_return_ci_hi,cost_return_mean,raw_return_iqm,raw_return_ci_lo,raw_return_ci_hi,raw_return_mean,n_actions_iqm,n_actions_ci_lo,n_actions_ci_hi,n_actions_mean,solved_iqm,solved_ci_lo,solved_ci_hi,solved_mean,best_rule_name
MinAtar_Freeway-v1,rule_best,0.0,10,0,0.0,16.936666666666664,16.49625,17.573833333333333,16.988,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,rule_cautious
MinAtar_Freeway-v1,rule_best,0.005,10,0,0.0,15.4426,15.004259583333331,16.07634666666667,15.493860000000002,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,rule_cautious
MinAtar_Freeway-v1,rule_best,0.01,10,0,0.0,13.948533333333335,13.51226916666667,14.57886,13.999720000000002,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,rule_cautious
MinAtar_Freeway-v1,rule_best,0.02,10,0,0.0,10.960400000000002,10.528288333333336,11.588371666666669,11.01144,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,rule_cautious
MinAtar_Freeway-v1,rule_best,0.04,10,0,0.0,6.568933333333333,6.1927933333333325,7.0266366666666675,6.637919999999999,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,rule_cautious_d1
MinAtar_Freeway-v1,rule_best,0.06,10,0,0.0,2.475066666666667,2.1115650000000006,2.8884683333333334,2.5468800000000007,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,rule_cautious_d1
MinAtar_Freeway-v1,rule_cautious,0.0,10,0,0.0,16.936666666666664,16.49625,17.573833333333333,16.988,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious,0.005,10,0,0.0,15.4426,15.004259583333331,16.07634666666667,15.493860000000002,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious,0.01,10,0,0.0,13.948533333333335,13.51226916666667,14.57886,13.999720000000002,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious,0.02,10,0,0.0,10.960400000000002,10.528288333333336,11.588371666666669,11.01144,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious,0.04,10,0,0.0,4.984133333333333,4.560326666666667,5.61266,5.034879999999999,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious,0.06,10,0,0.0,-0.9921333333333329,-1.4076349999999995,-0.36305166666666616,-0.9416799999999993,16.936666666666664,16.49625,17.573833333333333,16.988,298.65333333333336,298.3193333333333,299.2655,298.82800000000003,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious_d1,0.0,10,0,0.0,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious_d1,0.005,10,0,0.0,13.725266666666668,13.33512458333333,14.251910416666668,13.797239999999999,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious_d1,0.01,10,0,0.0,12.7072,12.314749166666665,13.226154166666664,12.77448,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious_d1,0.02,10,0,0.0,10.662799999999999,10.274021666666668,11.173691666666668,10.72896,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious_d1,0.04,10,0,0.0,6.568933333333333,6.1927933333333325,7.0266366666666675,6.637919999999999,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_cautious_d1,0.06,10,0,0.0,2.475066666666667,2.1115650000000006,2.8884683333333334,2.5468800000000007,14.743333333333334,14.355499999999997,15.277666666666665,14.820000000000002,204.47333333333336,202.29333333333332,207.06474999999998,204.552,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_noop,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_noop,0.005,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_noop,0.01,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_noop,0.02,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_noop,0.04,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_noop,0.06,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k1,0.0,10,0,0.0,9.896666666666667,9.719833333333334,10.050083333333331,9.9,9.896666666666667,9.719833333333334,10.050083333333331,9.9,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k1,0.005,10,0,0.0,4.896666666666667,4.719833333333333,5.050083333333333,4.8999999999999995,9.896666666666667,9.719833333333334,10.050083333333331,9.9,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k1,0.01,10,0,0.0,-0.10333333333333333,-0.2801666666666667,0.05008333333333336,-0.1,9.896666666666667,9.719833333333334,10.050083333333331,9.9,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k1,0.02,10,0,0.0,-10.103333333333333,-10.280166666666666,-9.949916666666669,-10.1,9.896666666666667,9.719833333333334,10.050083333333331,9.9,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k1,0.04,10,0,0.0,-30.103333333333335,-30.280166666666666,-29.94991666666667,-30.1,9.896666666666667,9.719833333333334,10.050083333333331,9.9,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k1,0.06,10,0,0.0,-50.10333333333333,-50.280166666666666,-49.94991666666665,-50.1,9.896666666666667,9.719833333333334,10.050083333333331,9.9,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k3,0.0,10,0,0.0,9.896666666666667,9.719833333333334,10.050083333333331,9.9,9.896666666666667,9.719833333333334,10.050083333333331,9.9,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k3,0.005,10,0,0.0,8.226666666666667,8.049833333333332,8.38008333333333,8.229999999999999,9.896666666666667,9.719833333333334,10.050083333333331,9.9,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k3,0.01,10,0,0.0,6.5566666666666675,6.379833333333333,6.710083333333333,6.56,9.896666666666667,9.719833333333334,10.050083333333331,9.9,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k3,0.02,10,0,0.0,3.216666666666667,3.0398333333333327,3.370083333333333,3.2199999999999998,9.896666666666667,9.719833333333334,10.050083333333331,9.9,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k3,0.04,10,0,0.0,-3.4633333333333334,-3.640166666666666,-3.3099166666666657,-3.4599999999999995,9.896666666666667,9.719833333333334,10.050083333333331,9.9,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k3,0.06,10,0,0.0,-10.143333333333333,-10.320166666666665,-9.989916666666668,-10.139999999999999,9.896666666666667,9.719833333333334,10.050083333333331,9.9,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k8,0.0,10,0,0.0,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,125.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k8,0.005,10,0,0.0,-0.2816666666666667,-0.3184166666666667,-0.2316666666666667,-0.281,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,125.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k8,0.01,10,0,0.0,-0.9066666666666667,-0.9434166666666667,-0.8566666666666668,-0.9059999999999999,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,125.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k8,0.02,10,0,0.0,-2.1566666666666667,-2.1934166666666672,-2.106666666666667,-2.156,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,125.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k8,0.04,10,0,0.0,-4.656666666666667,-4.693416666666667,-4.6066666666666665,-4.656,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,125.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,
MinAtar_Freeway-v1,rule_periodic_k8,0.06,10,0,0.0,-7.156666666666666,-7.193416666666666,-7.1066666666666665,-7.156000000000001,0.3433333333333333,0.3065833333333333,0.3933333333333333,0.344,125.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,
