raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-67.32210560201935,-66.74240019930497,-67.32210560201935,-66.74240019930497,510.6,767.4,0.4,20000,0.6460673809051514,0.2
23.447378409811762,21.50502335224782,23.447378409811762,21.50502335224782,545.6,630.8,0.8,40000,0.7159944772720337,0.2
114.97315459612624,107.06430085792049,114.97315459612624,107.06430085792049,264.8,353.8,1.0,60000,0.8129171133041382,0.2
-108.95796161027982,-72.2504907626039,-108.95796161027982,-72.2504907626039,416.4,534.6,1.0,80000,1.1737405061721802,0.2
119.11812925923691,113.0685365197691,119.11812925923691,113.0685365197691,636.8,757.8,0.6,100000,0.8892431259155273,0.2
131.39375723903606,109.66824597751665,131.39375723903606,109.66824597751665,594.8,795.0,0.4,120000,0.45700374245643616,0.2
231.36668969200483,231.62401557981335,231.36668969200483,231.62401557981335,435.6,564.6,1.0,140000,0.2842024266719818,0.2
251.71274392403473,256.9050776826385,251.71274392403473,256.9050776826385,346.0,399.8,1.0,160000,1.0179675817489624,0.2
224.43168332272856,220.5318907722777,224.43168332272856,220.5318907722777,395.8,599.8,0.6,180000,0.31801074743270874,0.2
218.87680119934245,214.51971874681107,218.87680119934245,214.51971874681107,418.2,641.8,0.6,200000,0.19358794391155243,0.2
