seed,steps,raw_return,cost_return,n_actions,solved
500000,359,265.66303841925776,235.56303841925737,301,1
500001,507,194.47121333704058,153.07121333704038,414,1
500002,376,281.0979282947184,251.6979282947181,294,1
500003,477,238.52460888848233,195.1246088884816,434,1
500004,464,210.99261969889398,172.3926196988939,386,1
500005,424,217.06157143551437,178.36157143551395,387,1
500006,484,252.94162721796388,209.24162721796336,437,1
500007,431,205.5577691008661,166.7577691008657,388,1
500008,508,244.54817927607937,204.84817927607878,397,1
500009,314,229.8799532973415,201.87995329734102,280,1
500010,383,242.8289260943703,208.22892609436985,346,1
500011,449,221.20152671617132,184.60152671617115,366,1
500012,566,196.90540989581012,151.10540989580946,458,1
500013,483,254.15688335198107,210.05688335198042,441,1
500014,485,225.60635176897443,182.30635176897397,433,1
500015,464,258.86252176497334,216.96252176497268,419,1
500016,497,207.04820931703227,161.24820931703192,458,1
500017,334,254.44340382694656,225.04340382694602,294,1
500018,317,249.35878936661967,221.058789366619,283,1
500019,1000,112.47369066463695,14.473690664636464,980,0
500020,427,220.8259874602128,183.6259874602124,372,1
500021,354,280.01852717461287,249.11852717461238,309,1
500022,546,217.4282202727564,173.62822027275558,438,1
500023,476,243.97843646697916,207.7784364669788,362,1
500024,514,225.46819400922368,185.4681940092231,400,1
500025,545,204.73488095570542,159.8348809557052,449,1
500026,527,221.02198212266293,179.82198212266235,412,1
500027,480,210.26256482615574,173.96256482615567,363,1
500028,529,240.1622494105632,194.8622494105625,453,1
500029,439,204.99694608559383,164.99694608559378,400,1
500030,515,196.81233671985746,153.31233671985714,435,1
500031,370,243.9245928958917,211.1245928958912,328,1
500032,527,260.6424226691483,211.4424226691475,492,1
500033,360,268.56335413598174,236.36335413598135,322,1
500034,440,230.93746349483752,192.83746349483687,381,1
500035,380,227.36831843502586,193.2683184350255,341,1
500036,507,227.8115106879569,187.4115106879563,404,1
500037,530,243.85662678413814,194.75662678413755,491,1
500038,437,234.67465326265844,197.17465326265824,375,1
500039,433,236.3193884495738,197.91938844957315,384,1
500040,560,234.87582658326542,188.475826583265,464,1
500041,414,239.88515624204246,202.58515624204205,373,1
500042,418,238.32481206061462,200.22481206061377,381,1
500043,433,210.61575037677613,172.51575037677577,381,1
500044,457,249.25285400644165,208.55285400644118,407,1
500045,437,227.80353162310394,193.00353162310353,348,1
500046,489,232.61720319991193,193.61720319991085,390,1
500047,530,176.3628947963128,131.06289479631278,453,1
500048,430,234.5218391567624,198.8218391567619,357,1
500049,460,207.655637298763,170.45563729876272,372,1
500050,473,244.08737462483504,204.18737462483483,399,1
500051,563,251.00273787135325,199.80273787135252,512,1
500052,491,-122.09541854038156,-157.39541854038208,353,1
500053,538,229.85428876435537,180.6542887643547,492,1
500054,333,254.37545905687438,226.07545905687408,283,1
500055,503,199.8593498550394,155.95934985503936,439,1
500056,439,231.81422278050425,195.7142227805037,361,1
500057,1000,128.9087132006446,30.008713200644145,989,0
500058,489,217.99663495902917,174.59663495902885,434,1
500059,365,242.43698502252562,210.53698502252522,319,1
500060,485,200.60380223527187,163.00380223527176,376,1
500061,400,228.82624209513625,196.22624209513606,326,1
500062,334,247.80141754648193,217.8014175464814,300,1
500063,490,218.31638243083984,174.81638243083964,435,1
500064,429,230.89178053685458,195.79178053685416,351,1
500065,553,256.00579405505925,204.90579405505844,511,1
500066,408,248.30805990241257,211.50805990241184,368,1
500067,355,261.34539515986035,231.34539515985995,300,1
500068,458,246.70549007173534,210.60549007173475,361,1
500069,429,209.99615934612984,173.29615934612957,367,1
500070,479,227.47258612840338,188.6725861284028,388,1
500071,399,233.28528716595753,197.68528716595702,356,1
500072,440,240.71971872268276,200.51971872268228,402,1
500073,500,247.24676629466836,206.84676629466787,404,1
500074,450,254.13948113253093,212.4394811325305,417,1
500075,474,243.95939442349666,201.35939442349607,426,1
500076,467,220.9512741609818,178.65127416098147,423,1
500077,433,259.2630321600137,219.76303216001315,395,1
500078,651,227.01772724477496,171.8177272447744,552,1
500079,476,217.51175504214376,174.31175504214326,432,1
500080,532,235.75528569765527,186.05528569765474,497,1
500081,588,224.99184532600816,178.29184532600755,467,1
500082,387,214.3937700819099,180.29377008190937,341,1
500083,429,232.07284807301417,197.97284807301372,341,1
500084,487,251.24851216633692,206.54851216633625,447,1
500085,444,222.9527573255256,182.35275732552503,406,1
500086,322,259.56994650951674,232.16994650951636,274,1
500087,332,260.1646165181995,230.16461651819887,300,1
500088,425,248.45693106023296,211.25693106023232,372,1
500089,521,206.11711646860377,158.61711646860346,475,1
500090,475,188.68262900109255,149.58262900109256,391,1
500091,436,252.48918529729795,212.68918529729748,398,1
500092,539,241.4711337204634,194.17113372046282,473,1
500093,458,223.90925436169385,183.60925436169327,403,1
500094,513,258.8386340575805,211.4386340575797,474,1
500095,535,205.5203479641699,162.12034796416958,434,1
500096,544,237.50055445982582,194.00055445982514,435,1
500097,490,269.9746360670274,226.27463606702682,437,1
500098,338,251.17552865477532,221.27552865477475,299,1
500099,393,202.44406296650322,167.54406296650313,349,1
