raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,5000,0.4266306459903717,0.8416666666666667
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,10000,0.34936046600341797,0.6833333333333333
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,15000,0.2849360406398773,0.525
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,20000,0.23266488313674927,0.3666666666666667
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,25000,0.1910632997751236,0.20833333333333337
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,30000,0.15558020770549774,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,35000,0.1274535059928894,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,40000,0.1046186164021492,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,45000,0.08602328598499298,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,50000,0.06987877935171127,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,55000,0.0569915771484375,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,60000,0.04622119292616844,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,65000,0.038709208369255066,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,70000,0.030753787606954575,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,75000,0.025659898295998573,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,80000,0.020976558327674866,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,85000,0.01710757426917553,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,90000,0.013801652938127518,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,95000,0.011364550329744816,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,100000,0.00937005877494812,0.05
