raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,5000,0.4267549216747284,0.8416666666666667
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,10000,0.3488868474960327,0.6833333333333333
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,15000,0.28561893105506897,0.525
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,20000,0.23364895582199097,0.3666666666666667
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,25000,0.1909291297197342,0.20833333333333337
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,30000,0.15597659349441528,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,35000,0.12782540917396545,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,40000,0.10452023148536682,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,45000,0.08515718579292297,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,50000,0.06959035992622375,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,55000,0.05717786028981209,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,60000,0.04678541049361229,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,65000,0.03810039907693863,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,70000,0.031238015741109848,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,75000,0.025628898292779922,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,80000,0.020958084613084793,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,85000,0.01722567155957222,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,90000,0.014133590273559093,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,95000,0.011324964463710785,0.05
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,100000,0.009212427772581577,0.05
