raw_return_iqm,raw_return_mean,cost_return_iqm,cost_return_mean,n_actions_mean,steps_mean,solved_rate,step,loss,eps
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,20000,0.2329791635274887,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,40000,0.10365167260169983,0.2
-200.0,-200.0,-200.0,-200.0,199.2,200.0,0.0,60000,0.046543434262275696,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,80000,0.020566992461681366,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,100001,0.005226645618677139,0.2
-200.0,-200.0,-200.0,-200.0,0.0,200.0,0.0,120001,0.00902698002755642,0.2
-200.0,-200.0,-200.0,-200.0,200.0,200.0,0.0,140004,0.0004750301886815578,0.2
-168.5,-171.7,-168.5,-171.7,145.8,171.7,0.7,160003,0.03739791736006737,0.2
-176.5,-170.3,-176.5,-170.3,170.3,170.3,0.4,180006,0.1290753185749054,0.2
-150.83333333333334,-155.3,-150.83333333333334,-155.3,139.1,155.3,0.6,200000,0.1377944052219391,0.2
-157.0,-151.1,-157.0,-151.1,145.7,151.1,0.6,220009,0.36892902851104736,0.2
-153.0,-146.7,-153.0,-146.7,134.0,146.7,1.0,240000,1.7223386764526367,0.2
-136.83333333333334,-144.9,-136.83333333333334,-144.9,137.9,144.9,0.7,260001,0.6484948992729187,0.2
-139.16666666666666,-138.2,-139.16666666666666,-138.2,124.3,138.2,1.0,280002,1.8393609523773193,0.2
-112.16666666666667,-109.0,-112.16666666666667,-109.0,104.1,109.0,1.0,300008,3.5001614093780518,0.2
