seed,steps,raw_return,cost_return,n_actions,solved
500000,165,1.924160020966255,-144.66583997903393,107,1
500001,291,228.1839856945618,93.92398569456157,98,1
500002,177,-4.9228497992392874,-140.55284979923943,99,1
500003,1000,120.33329190297535,-560.5567080970267,497,0
500004,121,-7.533920141650199,-96.58392014165031,65,1
500005,165,1.8717685661773658,-131.01823143382285,97,1
500006,270,230.72033933169436,37.55033933169393,141,1
500007,183,-37.371638047389936,-185.33163804739021,108,1
500008,296,223.75370669587454,62.09370669587422,118,1
500009,150,8.329241731702254,-119.08075826829796,93,1
500010,413,175.6350425624938,-151.79495743750635,239,1
500011,337,253.33835626140745,91.67835626140732,118,1
500012,106,-9.910998795168624,-101.70099879516873,67,1
500013,146,2.855440735613101,-143.7345592643872,107,1
500014,159,273.8563271758776,180.69632717587749,68,1
500015,156,-26.788991727229657,-166.5289917272299,102,1
500016,350,244.44863686990615,115.66863686990598,94,1
500017,177,-14.942764814497195,-177.97276481449757,119,1
500018,265,245.95658265404253,128.13658265404226,86,1
500019,185,-35.856743684627546,-178.33674368462778,104,1
500020,203,-2.6005026885492697,-151.93050268854944,109,1
500021,154,9.021489676021389,-140.30851032397882,109,1
500022,101,33.955879585164126,-60.57412041483607,69,1
500023,211,-11.475762737437307,-184.0957627374377,126,1
500024,270,247.1546359183373,88.23463591833703,116,1
500025,331,205.93905469242537,26.46905469242509,131,1
500026,547,153.4192922741397,-93.18070772586054,180,1
500027,167,21.56214024358883,-123.65785975641137,106,1
500028,729,218.13490883006108,-532.6250911699398,548,1
500029,108,-12.444085287645208,-89.1640852876453,56,1
500030,101,-4.697518887538564,-80.04751888753864,55,1
500031,205,263.46529745610735,166.19529745610703,71,1
500032,895,172.40445053485217,-316.6855494651481,357,1
500033,266,234.11054590466773,80.67054590466753,112,1
500034,216,242.20160077567175,117.53160077567154,91,1
500035,115,0.822361537253073,-90.96763846274706,67,1
500036,704,147.580992622449,-379.8690073775502,385,1
500037,196,-26.47295977058694,-192.24295977058705,121,1
500038,437,203.5174735555159,77.47747355551587,92,1
500039,190,-39.840792616515714,-200.13079261651606,117,1
500040,534,178.82455246732616,-196.55544753267338,274,1
500041,189,9.96159008284161,-148.95840991715866,116,1
500042,220,252.72594290929857,132.16594290929828,88,1
500043,153,-61.28085309892754,-191.43085309892774,95,1
500044,315,239.6243098550582,62.89430985505788,129,1
500045,173,238.33301597395473,124.62301597395455,83,1
500046,196,30.75252957512231,-133.64747042487795,120,1
500047,175,-20.050689584938226,-159.79068958493835,102,1
500048,256,248.38546648454422,105.90546648454392,104,1
500049,101,12.187564936221278,-75.49243506377883,64,1
500050,222,-22.47238618247198,-219.75238618247246,144,1
500051,1000,4.490809463901431,-769.5591905360968,565,0
500052,139,-0.46086448353207743,-94.99086448353219,69,1
500053,170,-36.463544555383606,-191.27354455538392,113,1
500054,168,-19.697910432745303,-153.95791043274545,98,1
500055,515,175.30619159776018,-127.46380840223998,221,1
500056,185,240.61532897870543,135.12532897870528,77,1
500057,168,-9.38906689649393,-153.2390668964941,105,1
500058,181,264.20898511407574,165.5689851140757,72,1
500059,407,177.99228424876043,-6.95771575123986,135,1
500060,123,1.7185130254814425,-85.96148697451868,64,1
500061,415,267.67485696099993,115.60485696099994,111,1
500062,279,262.41678708001245,107.60678708001238,113,1
500063,472,210.74885523863026,35.388855238630015,128,1
500064,272,256.80151672384727,112.95151672384709,105,1
500065,234,5.027355969203455,-181.29264403079696,136,1
500066,173,-3.211769847925794,-162.13176984792605,116,1
500067,181,-35.31720606317897,-177.7972060631792,104,1
500068,487,136.73524907736322,-283.8547509226363,307,1
500069,249,189.28170727759678,50.91170727759674,101,1
500070,330,207.38547603802198,-88.53452396197855,216,1
500071,211,285.90539910456755,199.5953991045675,63,1
500072,199,5.7036875206741655,-177.8763124793262,134,1
500073,453,227.9727261301299,-28.21727386987061,187,1
500074,164,-30.1586330649841,-175.37863306498437,106,1
500075,187,-27.02735737639543,-181.8373573763957,113,1
500076,323,256.0192847014779,94.35928470147755,118,1
500077,200,21.467253314187786,-158.00274668581255,131,1
500078,178,-17.184737034210997,-159.66473703421119,104,1
500079,191,-25.259892174887497,-174.58989217488778,109,1
500080,185,-29.09683903223619,-196.23683903223653,122,1
500081,196,-48.394236274863644,-201.83423627486394,112,1
500082,158,-25.6933796453673,-159.95337964536742,98,1
500083,99,41.29076249860108,-42.27923750139906,61,1
500084,310,207.55307717980634,-51.376922820194096,189,1
500085,219,244.23977766786396,152.44977766786386,67,1
500086,169,2.348526521995254,-146.98147347800497,109,1
500087,150,5.823971439637418,-129.80602856036282,99,1
500088,296,249.82927260961577,141.5992726096156,79,1
500089,249,204.9550836679823,39.18508366798195,121,1
500090,143,9.57846700498122,-110.9815329950189,88,1
500091,134,34.83351048511591,-70.65648951488424,77,1
500092,180,-7.697416874405832,-137.84741687440604,95,1
500093,150,-2.5526856989690287,-112.15268569896921,80,1
500094,194,-3.3440592924992245,-145.82405929249947,104,1
500095,249,218.18383168556133,82.55383168556106,99,1
500096,215,-16.426188811997534,-184.9361888119979,123,1
500097,206,-69.73029003146999,-227.2802900314703,115,1
500098,278,236.5672412094978,-59.35275879050283,216,1
500099,128,-19.044373489025745,-119.05437348902586,73,1
