
===== 시도 1 @ 2026-08-24 22:59:43 =====
  MountainCar-v0/dqn/lam0.5/seed1    5000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   10000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   15000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   20000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   25000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   30000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   35000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   40000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   45000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   50000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   55000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   60000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   65000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   70000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   75000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   80000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   85000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   90000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1   95000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
  MountainCar-v0/dqn/lam0.5/seed1  100000/100000 | r' IQM  -200.00 | 행동    0.0 | 성공   0.0%
[완료] MountainCar-v0/dqn/lam0.5/seed1 | r' IQM -200.00 | 행동 0.0 | 성공 0.0% | 402초
