
===== LunarLander-v3 =====
           agent      lam  n_seeds  cost_return_iqm  cost_return_ci_lo  cost_return_ci_hi  n_actions_iqm  solved_iqm
  λ* [dqn vs rule_best] CI기준 2.0 / 점추정기준 2.0 — 격자 안에서 교차 지점 발견
  λ* [lazy vs rule_best] CI기준 2.0 / 점추정기준 2.0 — 격자 안에서 교차 지점 발견
  λ* [temporl vs rule_best] CI기준 1.0 / 점추정기준 2.0 — 격자 안에서 교차 지점 발견
  저장: results/aggregate/LunarLander-v3_iqm.csv, LunarLander-v3_lambda_star.json

===== MountainCar-v0 =====
           agent      lam  n_seeds  cost_return_iqm  cost_return_ci_lo  cost_return_ci_hi  n_actions_iqm  solved_iqm
             dqn     0.00       10          -160.41            -180.69            -141.99         141.12        0.62
             dqn     0.01       10          -197.49            -200.13            -181.15          33.47        0.03
             dqn     0.02       10          -200.41            -201.24            -200.00          21.75        0.00
             dqn     0.03       10          -200.00            -200.33            -200.00           0.00        0.00
             dqn     0.05       10          -200.00            -200.56            -200.00           0.00        0.00
             dqn     0.10       10          -200.00            -200.00            -200.00           0.00        0.00
             dqn     0.20       10          -200.00            -200.00            -200.00           0.00        0.00
             dqn     0.35       10          -200.00            -200.00            -200.00           0.00        0.00
             dqn     0.66       10          -200.00            -200.00            -200.00           0.00        0.00
            lazy     0.00       10          -127.86            -151.59            -117.77         125.21        0.94
            lazy     0.01       10          -155.79            -174.57            -133.16         122.84        0.64
            lazy     0.02       10          -159.14            -189.29            -129.25         105.19        0.59
            lazy     0.03       10          -167.44            -201.00            -133.05         105.01        0.52
            lazy     0.05       10          -187.20            -200.00            -157.91          43.11        0.22
            lazy     0.10       10          -191.51            -200.02            -157.64          17.51        0.13
            lazy     0.20       10          -200.00            -204.36            -190.57           0.00        0.00
            lazy     0.35       10          -200.00            -201.95            -197.79           0.00        0.00
            lazy     0.66       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_best     0.00       10          -119.34            -119.57            -119.06         119.34        1.00
       rule_best     0.01       10          -120.53            -120.77            -120.25         119.34        1.00
       rule_best     0.02       10          -121.73            -121.96            -121.44         119.34        1.00
       rule_best     0.03       10          -122.92            -123.16            -122.63         119.34        1.00
       rule_best     0.05       10          -125.31            -125.55            -125.01         119.34        1.00
       rule_best     0.10       10          -131.27            -131.53            -130.97         119.34        1.00
       rule_best     0.20       10          -143.21            -143.49            -142.87         119.34        1.00
       rule_best     0.35       10          -161.11            -161.42            -160.73         119.34        1.00
       rule_best     0.66       10          -198.10            -198.49            -197.64         119.34        1.00
       rule_noop     0.00       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.01       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.02       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.03       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.05       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.10       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.20       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.35       10          -200.00            -200.00            -200.00           0.00        0.00
       rule_noop     0.66       10          -200.00            -200.00            -200.00           0.00        0.00
rule_periodic_k1     0.00       10          -200.00            -200.00            -200.00         200.00        0.00
rule_periodic_k1     0.01       10          -202.00            -202.00            -202.00         200.00        0.00
rule_periodic_k1     0.02       10          -204.00            -204.00            -204.00         200.00        0.00
rule_periodic_k1     0.03       10          -206.00            -206.00            -206.00         200.00        0.00
rule_periodic_k1     0.05       10          -210.00            -210.00            -210.00         200.00        0.00
rule_periodic_k1     0.10       10          -220.00            -220.00            -220.00         200.00        0.00
rule_periodic_k1     0.20       10          -240.00            -240.00            -240.00         200.00        0.00
rule_periodic_k1     0.35       10          -270.00            -270.00            -270.00         200.00        0.00
